image_path,source,category,body_location,symptoms_description,malignant,split,severity_flag
dataset/train/Actinic Keratosis/ISIC_0057431.jpg,ISIC_HAM10000,Pre-cancerous Lesion,"Face, Scalp, Ears, Forearms, Hands","Rough, scaly, gritty erythematous patch, sandpapery texture on chronically sun-exposed skin.",0,train,Pre-cancerous
dataset/train/Basal Cell Carcinoma/ISIC_5560888.JPG,ISIC_HAM10000,Non-Melanoma Skin Cancer (Malignant),"Face, Nose, Scalp, Neck, Shoulders","Pearly translucent papule or nodule, rolled borders, telangiectasia, non-healing ulcer.",1,train,Malignant
dataset/train/Basal Cell Carcinoma/ISIC_9721167.JPG,ISIC_HAM10000,Non-Melanoma Skin Cancer (Malignant),"Face, Nose, Scalp, Neck, Shoulders","Pearly translucent papule or nodule, rolled borders, telangiectasia, non-healing ulcer.",1,train,Malignant
dataset/train/Basal Cell Carcinoma/ISIC_0071968.jpg,ISIC_HAM10000,Non-Melanoma Skin Cancer (Malignant),"Face, Nose, Scalp, Neck, Shoulders","Pearly translucent papule or nodule, rolled borders, telangiectasia, non-healing ulcer.",1,train,Malignant
dataset/train/Basal Cell Carcinoma/ISIC_8544566.JPG,ISIC_HAM10000,Non-Melanoma Skin Cancer (Malignant),"Face, Nose, Scalp, Neck, Shoulders","Pearly translucent papule or nodule, rolled borders, telangiectasia, non-healing ulcer.",1,train,Malignant
dataset/train/Basal Cell Carcinoma/ISIC_0073247.JPG,ISIC_HAM10000,Non-Melanoma Skin Cancer (Malignant),"Face, Nose, Scalp, Neck, Shoulders","Pearly translucent papule or nodule, rolled borders, telangiectasia, non-healing ulcer.",1,train,Malignant
dataset/train/Basal Cell Carcinoma/ISIC_0071147.jpg,ISIC_HAM10000,Non-Melanoma Skin Cancer (Malignant),"Face, Nose, Scalp, Neck, Shoulders","Pearly translucent papule or nodule, rolled borders, telangiectasia, non-healing ulcer.",1,train,Malignant
dataset/train/Basal Cell Carcinoma/ISIC_8986575.JPG,ISIC_HAM10000,Non-Melanoma Skin Cancer (Malignant),"Face, Nose, Scalp, Neck, Shoulders","Pearly translucent papule or nodule, rolled borders, telangiectasia, non-healing ulcer.",1,train,Malignant
dataset/train/Basal Cell Carcinoma/ISIC_2271767.JPG,ISIC_HAM10000,Non-Melanoma Skin Cancer (Malignant),"Face, Nose, Scalp, Neck, Shoulders","Pearly translucent papule or nodule, rolled borders, telangiectasia, non-healing ulcer.",1,train,Malignant
dataset/train/Basal Cell Carcinoma/ISIC_7154868.JPG,ISIC_HAM10000,Non-Melanoma Skin Cancer (Malignant),"Face, Nose, Scalp, Neck, Shoulders","Pearly translucent papule or nodule, rolled borders, telangiectasia, non-healing ulcer.",1,train,Malignant
dataset/train/Basal Cell Carcinoma/ISIC_0404097.JPG,ISIC_HAM10000,Non-Melanoma Skin Cancer (Malignant),"Face, Nose, Scalp, Neck, Shoulders","Pearly translucent papule or nodule, rolled borders, telangiectasia, non-healing ulcer.",1,train,Malignant
dataset/train/Basal Cell Carcinoma/ISIC_0070661.jpg,ISIC_HAM10000,Non-Melanoma Skin Cancer (Malignant),"Face, Nose, Scalp, Neck, Shoulders","Pearly translucent papule or nodule, rolled borders, telangiectasia, non-healing ulcer.",1,train,Malignant
dataset/train/Basal Cell Carcinoma/ISIC_0072306.jpg,ISIC_HAM10000,Non-Melanoma Skin Cancer (Malignant),"Face, Nose, Scalp, Neck, Shoulders","Pearly translucent papule or nodule, rolled borders, telangiectasia, non-healing ulcer.",1,train,Malignant
dataset/train/Basal Cell Carcinoma/ISIC_5555131.JPG,ISIC_HAM10000,Non-Melanoma Skin Cancer (Malignant),"Face, Nose, Scalp, Neck, Shoulders","Pearly translucent papule or nodule, rolled borders, telangiectasia, non-healing ulcer.",1,train,Malignant
dataset/train/Basal Cell Carcinoma/ISIC_8613600.JPG,ISIC_HAM10000,Non-Melanoma Skin Cancer (Malignant),"Face, Nose, Scalp, Neck, Shoulders","Pearly translucent papule or nodule, rolled borders, telangiectasia, non-healing ulcer.",1,train,Malignant
dataset/train/Basal Cell Carcinoma/ISIC_3844971.JPG,ISIC_HAM10000,Non-Melanoma Skin Cancer (Malignant),"Face, Nose, Scalp, Neck, Shoulders","Pearly translucent papule or nodule, rolled borders, telangiectasia, non-healing ulcer.",1,train,Malignant
dataset/train/Basal Cell Carcinoma/ISIC_9910672.JPG,ISIC_HAM10000,Non-Melanoma Skin Cancer (Malignant),"Face, Nose, Scalp, Neck, Shoulders","Pearly translucent papule or nodule, rolled borders, telangiectasia, non-healing ulcer.",1,train,Malignant
dataset/train/Basal Cell Carcinoma/ISIC_0072342.jpg,ISIC_HAM10000,Non-Melanoma Skin Cancer (Malignant),"Face, Nose, Scalp, Neck, Shoulders","Pearly translucent papule or nodule, rolled borders, telangiectasia, non-healing ulcer.",1,train,Malignant
dataset/train/Basal Cell Carcinoma/ISIC_5036479.JPG,ISIC_HAM10000,Non-Melanoma Skin Cancer (Malignant),"Face, Nose, Scalp, Neck, Shoulders","Pearly translucent papule or nodule, rolled borders, telangiectasia, non-healing ulcer.",1,train,Malignant
dataset/train/Basal Cell Carcinoma/ISIC_0073155.JPG,ISIC_HAM10000,Non-Melanoma Skin Cancer (Malignant),"Face, Nose, Scalp, Neck, Shoulders","Pearly translucent papule or nodule, rolled borders, telangiectasia, non-healing ulcer.",1,train,Malignant
dataset/train/Basal Cell Carcinoma/ISIC_5475971.JPG,ISIC_HAM10000,Non-Melanoma Skin Cancer (Malignant),"Face, Nose, Scalp, Neck, Shoulders","Pearly translucent papule or nodule, rolled borders, telangiectasia, non-healing ulcer.",1,train,Malignant
dataset/train/Basal Cell Carcinoma/ISIC_0070706.jpg,ISIC_HAM10000,Non-Melanoma Skin Cancer (Malignant),"Face, Nose, Scalp, Neck, Shoulders","Pearly translucent papule or nodule, rolled borders, telangiectasia, non-healing ulcer.",1,train,Malignant
dataset/train/Basal Cell Carcinoma/ISIC_0072463.jpg,ISIC_HAM10000,Non-Melanoma Skin Cancer (Malignant),"Face, Nose, Scalp, Neck, Shoulders","Pearly translucent papule or nodule, rolled borders, telangiectasia, non-healing ulcer.",1,train,Malignant
dataset/train/Basal Cell Carcinoma/ISIC_0071665.jpg,ISIC_HAM10000,Non-Melanoma Skin Cancer (Malignant),"Face, Nose, Scalp, Neck, Shoulders","Pearly translucent papule or nodule, rolled borders, telangiectasia, non-healing ulcer.",1,train,Malignant
dataset/train/Basal Cell Carcinoma/ISIC_4713713.JPG,ISIC_HAM10000,Non-Melanoma Skin Cancer (Malignant),"Face, Nose, Scalp, Neck, Shoulders","Pearly translucent papule or nodule, rolled borders, telangiectasia, non-healing ulcer.",1,train,Malignant
dataset/train/Basal Cell Carcinoma/ISIC_0071378.jpg,ISIC_HAM10000,Non-Melanoma Skin Cancer (Malignant),"Face, Nose, Scalp, Neck, Shoulders","Pearly translucent papule or nodule, rolled borders, telangiectasia, non-healing ulcer.",1,train,Malignant
dataset/train/Dermatofibroma/ISIC_0014767.jpg,ISIC_HAM10000,Benign Fibrous Nodule,"Lower extremities, Arms, Trunk","Firm, solitary, hyperpigmented button-like nodule that dimples downward with lateral pinching.",0,train,Benign
dataset/train/Dermatofibroma/ISIC_1914461.jpg,ISIC_HAM10000,Benign Fibrous Nodule,"Lower extremities, Arms, Trunk","Firm, solitary, hyperpigmented button-like nodule that dimples downward with lateral pinching.",0,train,Benign
dataset/train/Dermatofibroma/ISIC_0029973.jpg,ISIC_HAM10000,Benign Fibrous Nodule,"Lower extremities, Arms, Trunk","Firm, solitary, hyperpigmented button-like nodule that dimples downward with lateral pinching.",0,train,Benign
dataset/train/Dermatofibroma/ISIC_0061305.jpg,ISIC_HAM10000,Benign Fibrous Nodule,"Lower extremities, Arms, Trunk","Firm, solitary, hyperpigmented button-like nodule that dimples downward with lateral pinching.",0,train,Benign
dataset/train/Dermatofibroma/ISIC_0063817.jpg,ISIC_HAM10000,Benign Fibrous Nodule,"Lower extremities, Arms, Trunk","Firm, solitary, hyperpigmented button-like nodule that dimples downward with lateral pinching.",0,train,Benign
dataset/train/Dermatofibroma/ISIC_0064115.jpg,ISIC_HAM10000,Benign Fibrous Nodule,"Lower extremities, Arms, Trunk","Firm, solitary, hyperpigmented button-like nodule that dimples downward with lateral pinching.",0,train,Benign
dataset/train/Dermatofibroma/ISIC_0064930.jpg,ISIC_HAM10000,Benign Fibrous Nodule,"Lower extremities, Arms, Trunk","Firm, solitary, hyperpigmented button-like nodule that dimples downward with lateral pinching.",0,train,Benign
dataset/train/Dermatofibroma/ISIC_0036018.jpg,ISIC_HAM10000,Benign Fibrous Nodule,"Lower extremities, Arms, Trunk","Firm, solitary, hyperpigmented button-like nodule that dimples downward with lateral pinching.",0,train,Benign
dataset/train/Dermatofibroma/ISIC_0001114.jpg,ISIC_HAM10000,Benign Fibrous Nodule,"Lower extremities, Arms, Trunk","Firm, solitary, hyperpigmented button-like nodule that dimples downward with lateral pinching.",0,train,Benign
dataset/train/Dermatofibroma/ISIC_0027118.jpg,ISIC_HAM10000,Benign Fibrous Nodule,"Lower extremities, Arms, Trunk","Firm, solitary, hyperpigmented button-like nodule that dimples downward with lateral pinching.",0,train,Benign
dataset/train/Dermatofibroma/ISIC_0031372.jpg,ISIC_HAM10000,Benign Fibrous Nodule,"Lower extremities, Arms, Trunk","Firm, solitary, hyperpigmented button-like nodule that dimples downward with lateral pinching.",0,train,Benign
dataset/train/Dermatofibroma/ISIC_0057868.jpg,ISIC_HAM10000,Benign Fibrous Nodule,"Lower extremities, Arms, Trunk","Firm, solitary, hyperpigmented button-like nodule that dimples downward with lateral pinching.",0,train,Benign
dataset/train/Dermatofibroma/ISIC_0068078.jpg,ISIC_HAM10000,Benign Fibrous Nodule,"Lower extremities, Arms, Trunk","Firm, solitary, hyperpigmented button-like nodule that dimples downward with lateral pinching.",0,train,Benign
dataset/train/Dermatofibroma/ISIC_0046414.jpg,ISIC_HAM10000,Benign Fibrous Nodule,"Lower extremities, Arms, Trunk","Firm, solitary, hyperpigmented button-like nodule that dimples downward with lateral pinching.",0,train,Benign
dataset/train/Dermatofibroma/ISIC_0072193.jpg,ISIC_HAM10000,Benign Fibrous Nodule,"Lower extremities, Arms, Trunk","Firm, solitary, hyperpigmented button-like nodule that dimples downward with lateral pinching.",0,train,Benign
dataset/train/Dermatofibroma/ISIC_0028790.jpg,ISIC_HAM10000,Benign Fibrous Nodule,"Lower extremities, Arms, Trunk","Firm, solitary, hyperpigmented button-like nodule that dimples downward with lateral pinching.",0,train,Benign
dataset/train/Dermatofibroma/ISIC_0024994.jpg,ISIC_HAM10000,Benign Fibrous Nodule,"Lower extremities, Arms, Trunk","Firm, solitary, hyperpigmented button-like nodule that dimples downward with lateral pinching.",0,train,Benign
dataset/train/Dermatofibroma/ISIC_0035677.jpg,ISIC_HAM10000,Benign Fibrous Nodule,"Lower extremities, Arms, Trunk","Firm, solitary, hyperpigmented button-like nodule that dimples downward with lateral pinching.",0,train,Benign
dataset/train/Dermatofibroma/ISIC_0067217.jpg,ISIC_HAM10000,Benign Fibrous Nodule,"Lower extremities, Arms, Trunk","Firm, solitary, hyperpigmented button-like nodule that dimples downward with lateral pinching.",0,train,Benign
dataset/train/Dermatofibroma/ISIC_7380125.jpg,ISIC_HAM10000,Benign Fibrous Nodule,"Lower extremities, Arms, Trunk","Firm, solitary, hyperpigmented button-like nodule that dimples downward with lateral pinching.",0,train,Benign
dataset/train/Dermatofibroma/ISIC_0029962.jpg,ISIC_HAM10000,Benign Fibrous Nodule,"Lower extremities, Arms, Trunk","Firm, solitary, hyperpigmented button-like nodule that dimples downward with lateral pinching.",0,train,Benign
dataset/train/Dermatofibroma/ISIC_0066400.jpg,ISIC_HAM10000,Benign Fibrous Nodule,"Lower extremities, Arms, Trunk","Firm, solitary, hyperpigmented button-like nodule that dimples downward with lateral pinching.",0,train,Benign
dataset/train/Dermatofibroma/ISIC_0012482.jpg,ISIC_HAM10000,Benign Fibrous Nodule,"Lower extremities, Arms, Trunk","Firm, solitary, hyperpigmented button-like nodule that dimples downward with lateral pinching.",0,train,Benign
dataset/train/Dermatofibroma/ISIC_0059265.jpg,ISIC_HAM10000,Benign Fibrous Nodule,"Lower extremities, Arms, Trunk","Firm, solitary, hyperpigmented button-like nodule that dimples downward with lateral pinching.",0,train,Benign
dataset/train/Dermatofibroma/ISIC_0030011.jpg,ISIC_HAM10000,Benign Fibrous Nodule,"Lower extremities, Arms, Trunk","Firm, solitary, hyperpigmented button-like nodule that dimples downward with lateral pinching.",0,train,Benign
dataset/train/Melanoma/ISIC_5581931.JPG,ISIC_HAM10000,Malignant Skin Cancer,"Trunk, Back (men), Lower legs (women), Face","Asymmetrical, irregular borders, variegated color (brown/black/red/blue), diameter >6mm, evolving lesion.",1,train,Malignant
dataset/train/Melanoma/ISIC_0068886.JPG,ISIC_HAM10000,Malignant Skin Cancer,"Trunk, Back (men), Lower legs (women), Face","Asymmetrical, irregular borders, variegated color (brown/black/red/blue), diameter >6mm, evolving lesion.",1,train,Malignant
dataset/train/Melanoma/ISIC_1135829.JPG,ISIC_HAM10000,Malignant Skin Cancer,"Trunk, Back (men), Lower legs (women), Face","Asymmetrical, irregular borders, variegated color (brown/black/red/blue), diameter >6mm, evolving lesion.",1,train,Malignant
dataset/train/Melanoma/ISIC_0067597.JPG,ISIC_HAM10000,Malignant Skin Cancer,"Trunk, Back (men), Lower legs (women), Face","Asymmetrical, irregular borders, variegated color (brown/black/red/blue), diameter >6mm, evolving lesion.",1,train,Malignant
dataset/train/Melanoma/ISIC_0070830.JPG,ISIC_HAM10000,Malignant Skin Cancer,"Trunk, Back (men), Lower legs (women), Face","Asymmetrical, irregular borders, variegated color (brown/black/red/blue), diameter >6mm, evolving lesion.",1,train,Malignant
dataset/train/Melanoma/ISIC_0066860.JPG,ISIC_HAM10000,Malignant Skin Cancer,"Trunk, Back (men), Lower legs (women), Face","Asymmetrical, irregular borders, variegated color (brown/black/red/blue), diameter >6mm, evolving lesion.",1,train,Malignant
dataset/train/Melanoma/ISIC_3331737.JPG,ISIC_HAM10000,Malignant Skin Cancer,"Trunk, Back (men), Lower legs (women), Face","Asymmetrical, irregular borders, variegated color (brown/black/red/blue), diameter >6mm, evolving lesion.",1,train,Malignant
dataset/train/Melanoma/ISIC_2700320.JPG,ISIC_HAM10000,Malignant Skin Cancer,"Trunk, Back (men), Lower legs (women), Face","Asymmetrical, irregular borders, variegated color (brown/black/red/blue), diameter >6mm, evolving lesion.",1,train,Malignant
dataset/train/Melanoma/ISIC_0067160.JPG,ISIC_HAM10000,Malignant Skin Cancer,"Trunk, Back (men), Lower legs (women), Face","Asymmetrical, irregular borders, variegated color (brown/black/red/blue), diameter >6mm, evolving lesion.",1,train,Malignant
dataset/train/Melanoma/ISIC_0036023.JPG,ISIC_HAM10000,Malignant Skin Cancer,"Trunk, Back (men), Lower legs (women), Face","Asymmetrical, irregular borders, variegated color (brown/black/red/blue), diameter >6mm, evolving lesion.",1,train,Malignant
dataset/train/Melanoma/ISIC_0068255.JPG,ISIC_HAM10000,Malignant Skin Cancer,"Trunk, Back (men), Lower legs (women), Face","Asymmetrical, irregular borders, variegated color (brown/black/red/blue), diameter >6mm, evolving lesion.",1,train,Malignant
dataset/train/Melanoma/ISIC_6228963.JPG,ISIC_HAM10000,Malignant Skin Cancer,"Trunk, Back (men), Lower legs (women), Face","Asymmetrical, irregular borders, variegated color (brown/black/red/blue), diameter >6mm, evolving lesion.",1,train,Malignant
dataset/train/Melanoma/ISIC_0274382.JPG,ISIC_HAM10000,Malignant Skin Cancer,"Trunk, Back (men), Lower legs (women), Face","Asymmetrical, irregular borders, variegated color (brown/black/red/blue), diameter >6mm, evolving lesion.",1,train,Malignant
dataset/train/Melanoma/ISIC_0069029.JPG,ISIC_HAM10000,Malignant Skin Cancer,"Trunk, Back (men), Lower legs (women), Face","Asymmetrical, irregular borders, variegated color (brown/black/red/blue), diameter >6mm, evolving lesion.",1,train,Malignant
dataset/train/Melanoma/ISIC_0068766.JPG,ISIC_HAM10000,Malignant Skin Cancer,"Trunk, Back (men), Lower legs (women), Face","Asymmetrical, irregular borders, variegated color (brown/black/red/blue), diameter >6mm, evolving lesion.",1,train,Malignant
dataset/train/Melanoma/ISIC_0070784.JPG,ISIC_HAM10000,Malignant Skin Cancer,"Trunk, Back (men), Lower legs (women), Face","Asymmetrical, irregular borders, variegated color (brown/black/red/blue), diameter >6mm, evolving lesion.",1,train,Malignant
dataset/train/Melanoma/ISIC_0071111.JPG,ISIC_HAM10000,Malignant Skin Cancer,"Trunk, Back (men), Lower legs (women), Face","Asymmetrical, irregular borders, variegated color (brown/black/red/blue), diameter >6mm, evolving lesion.",1,train,Malignant
dataset/train/Melanoma/ISIC_0071768.JPG,ISIC_HAM10000,Malignant Skin Cancer,"Trunk, Back (men), Lower legs (women), Face","Asymmetrical, irregular borders, variegated color (brown/black/red/blue), diameter >6mm, evolving lesion.",1,train,Malignant
dataset/train/Melanoma/ISIC_0071673.JPG,ISIC_HAM10000,Malignant Skin Cancer,"Trunk, Back (men), Lower legs (women), Face","Asymmetrical, irregular borders, variegated color (brown/black/red/blue), diameter >6mm, evolving lesion.",1,train,Malignant
dataset/train/Melanoma/ISIC_8671596.JPG,ISIC_HAM10000,Malignant Skin Cancer,"Trunk, Back (men), Lower legs (women), Face","Asymmetrical, irregular borders, variegated color (brown/black/red/blue), diameter >6mm, evolving lesion.",1,train,Malignant
dataset/train/Melanoma/ISIC_0068239.JPG,ISIC_HAM10000,Malignant Skin Cancer,"Trunk, Back (men), Lower legs (women), Face","Asymmetrical, irregular borders, variegated color (brown/black/red/blue), diameter >6mm, evolving lesion.",1,train,Malignant
dataset/train/Melanoma/ISIC_6959281.JPG,ISIC_HAM10000,Malignant Skin Cancer,"Trunk, Back (men), Lower legs (women), Face","Asymmetrical, irregular borders, variegated color (brown/black/red/blue), diameter >6mm, evolving lesion.",1,train,Malignant
dataset/train/Melanoma/ISIC_3518714.JPG,ISIC_HAM10000,Malignant Skin Cancer,"Trunk, Back (men), Lower legs (women), Face","Asymmetrical, irregular borders, variegated color (brown/black/red/blue), diameter >6mm, evolving lesion.",1,train,Malignant
dataset/train/Melanoma/ISIC_7936755.JPG,ISIC_HAM10000,Malignant Skin Cancer,"Trunk, Back (men), Lower legs (women), Face","Asymmetrical, irregular borders, variegated color (brown/black/red/blue), diameter >6mm, evolving lesion.",1,train,Malignant
dataset/train/Melanoma/ISIC_1813577.JPG,ISIC_HAM10000,Malignant Skin Cancer,"Trunk, Back (men), Lower legs (women), Face","Asymmetrical, irregular borders, variegated color (brown/black/red/blue), diameter >6mm, evolving lesion.",1,train,Malignant
dataset/train/Nevus/ISIC_1709695.jpg,ISIC_HAM10000,Benign Melanocytic Lesion,"Trunk, Neck, Extremities, Face","Symmetrical, uniform brown/tan pigmented macule or papule with well-defined borders.",0,train,Benign
dataset/train/Nevus/ISIC_2710921.jpg,ISIC_HAM10000,Benign Melanocytic Lesion,"Trunk, Neck, Extremities, Face","Symmetrical, uniform brown/tan pigmented macule or papule with well-defined borders.",0,train,Benign
dataset/train/Nevus/ISIC_4561534.jpg,ISIC_HAM10000,Benign Melanocytic Lesion,"Trunk, Neck, Extremities, Face","Symmetrical, uniform brown/tan pigmented macule or papule with well-defined borders.",0,train,Benign
dataset/train/Nevus/ISIC_9611628.jpg,ISIC_HAM10000,Benign Melanocytic Lesion,"Trunk, Neck, Extremities, Face","Symmetrical, uniform brown/tan pigmented macule or papule with well-defined borders.",0,train,Benign
dataset/train/Nevus/ISIC_4207602.jpg,ISIC_HAM10000,Benign Melanocytic Lesion,"Trunk, Neck, Extremities, Face","Symmetrical, uniform brown/tan pigmented macule or papule with well-defined borders.",0,train,Benign
dataset/train/Nevus/ISIC_2291941.jpg,ISIC_HAM10000,Benign Melanocytic Lesion,"Trunk, Neck, Extremities, Face","Symmetrical, uniform brown/tan pigmented macule or papule with well-defined borders.",0,train,Benign
dataset/train/Nevus/ISIC_5070333.jpg,ISIC_HAM10000,Benign Melanocytic Lesion,"Trunk, Neck, Extremities, Face","Symmetrical, uniform brown/tan pigmented macule or papule with well-defined borders.",0,train,Benign
dataset/train/Nevus/ISIC_6858967.jpg,ISIC_HAM10000,Benign Melanocytic Lesion,"Trunk, Neck, Extremities, Face","Symmetrical, uniform brown/tan pigmented macule or papule with well-defined borders.",0,train,Benign
dataset/train/Nevus/ISIC_6356718.jpg,ISIC_HAM10000,Benign Melanocytic Lesion,"Trunk, Neck, Extremities, Face","Symmetrical, uniform brown/tan pigmented macule or papule with well-defined borders.",0,train,Benign
dataset/train/Nevus/ISIC_9939005.jpg,ISIC_HAM10000,Benign Melanocytic Lesion,"Trunk, Neck, Extremities, Face","Symmetrical, uniform brown/tan pigmented macule or papule with well-defined borders.",0,train,Benign
dataset/train/Nevus/ISIC_9239505.jpg,ISIC_HAM10000,Benign Melanocytic Lesion,"Trunk, Neck, Extremities, Face","Symmetrical, uniform brown/tan pigmented macule or papule with well-defined borders.",0,train,Benign
dataset/train/Nevus/ISIC_6086907.jpg,ISIC_HAM10000,Benign Melanocytic Lesion,"Trunk, Neck, Extremities, Face","Symmetrical, uniform brown/tan pigmented macule or papule with well-defined borders.",0,train,Benign
dataset/train/Nevus/ISIC_0630968.jpg,ISIC_HAM10000,Benign Melanocytic Lesion,"Trunk, Neck, Extremities, Face","Symmetrical, uniform brown/tan pigmented macule or papule with well-defined borders.",0,train,Benign
dataset/train/Nevus/ISIC_5618299.jpg,ISIC_HAM10000,Benign Melanocytic Lesion,"Trunk, Neck, Extremities, Face","Symmetrical, uniform brown/tan pigmented macule or papule with well-defined borders.",0,train,Benign
